selector,group,representation_ratio,kept_count,pool_count
ifd,chat,0.735,45.0,1224
ifd,code,0.133,10.0,1501
ifd,general,0.123,6.0,974
ifd,instruction_following,0.405,6.0,296
ifd,math,0.521,91.0,3494
ifd,multilingual,3.289,328.0,1995
ifd,other,0.0,0.0,56
ifd,safety,0.941,56.0,1190
ifd,science,0.0,0.0,112
perplexity-high,chat,0.311,19.0,1224
perplexity-high,code,0.0,0.0,1501
perplexity-high,general,0.0,0.0,974
perplexity-high,instruction_following,0.203,3.0,296
perplexity-high,math,0.0,0.0,3494
perplexity-high,multilingual,5.164,515.0,1995
perplexity-high,other,0.0,0.0,56
perplexity-high,safety,0.034,2.0,1190
perplexity-high,science,0.536,3.0,112
perplexity-low,chat,0.0,0.0,1224
perplexity-low,code,0.093,7.0,1501
perplexity-low,general,0.267,13.0,974
perplexity-low,instruction_following,0.0,0.0,296
perplexity-low,math,2.989,522.0,3494
perplexity-low,multilingual,0.0,0.0,1995
perplexity-low,other,0.0,0.0,56
perplexity-low,safety,0.0,0.0,1190
perplexity-low,science,0.0,0.0,112
perplexity-mid,chat,1.128,69.0,1224
perplexity-mid,code,1.959,147.0,1501
perplexity-mid,general,1.766,86.0,974
perplexity-mid,instruction_following,1.554,23.0,296
perplexity-mid,math,0.206,36.0,3494
perplexity-mid,multilingual,1.283,128.0,1995
perplexity-mid,other,0.357,1.0,56
perplexity-mid,safety,0.84,50.0,1190
perplexity-mid,science,0.357,2.0,112
quality,chat,0.997,61.0,1224
quality,code,1.546,116.0,1501
quality,general,0.698,34.0,974
quality,instruction_following,2.163,32.0,296
quality,math,1.174,205.0,3494
quality,multilingual,0.451,45.0,1995
quality,other,0.714,2.0,56
quality,safety,0.723,43.0,1190
quality,science,0.714,4.0,112
random,chat,1.012,62.7,1224
random,code,0.867,66.0,1501
random,general,1.003,49.3,974
random,instruction_following,1.019,15.3,296
random,math,1.014,179.3,3494
random,multilingual,1.056,106.7,1995
random,other,0.706,2.0,56
random,safety,1.023,61.7,1190
random,science,1.058,6.0,112
rdsplus,chat,0.621,38.0,1224
rdsplus,code,0.56,42.0,1501
rdsplus,general,1.027,50.0,974
rdsplus,instruction_following,0.27,4.0,296
rdsplus,math,1.729,302.0,3494
rdsplus,multilingual,0.983,98.0,1995
rdsplus,other,0.357,1.0,56
rdsplus,safety,0.118,7.0,1190
rdsplus,science,0.0,0.0,112
semdedup,chat,2.974,182.0,1224
semdedup,code,0.333,25.0,1501
semdedup,general,2.649,129.0,974
semdedup,instruction_following,3.784,56.0,296
semdedup,math,0.011,2.0,3494
semdedup,multilingual,0.682,68.0,1995
semdedup,other,1.429,4.0,56
semdedup,safety,0.958,57.0,1190
semdedup,science,3.393,19.0,112
