selector,axis,group,budget,representation_ratio,kept_count,pool_count,n_seeds
random,skill,code,0.5,0.994,748.0,1501,3
random,skill,general,0.01,1.031,10.0,974,3
random,skill,general,0.05,1.003,49.3,974,3
random,skill,general,0.1,0.877,87.0,974,3
random,skill,general,0.25,0.957,234.7,974,3
random,skill,general,0.5,0.961,469.3,974,3
random,skill,instruction_following,0.01,1.017,3.0,296,3
random,skill,instruction_following,0.05,1.019,15.3,296,3
random,skill,instruction_following,0.1,0.907,27.3,296,3
random,skill,instruction_following,0.25,0.993,74.0,296,3
random,skill,instruction_following,0.5,1.013,150.3,296,3
random,skill,math,0.01,0.939,32.7,3494,3
random,skill,math,0.05,1.014,179.3,3494,3
random,skill,math,0.1,0.975,347.0,3494,3
random,skill,math,0.25,1.002,881.3,3494,3
random,skill,math,0.5,0.995,1742.7,3494,3
random,skill,multilingual,0.01,0.973,19.3,1995,3
random,skill,multilingual,0.05,1.056,106.7,1995,3
random,skill,multilingual,0.1,1.102,224.0,1995,3
random,skill,multilingual,0.25,1.048,526.3,1995,3
random,skill,multilingual,0.5,1.027,1027.0,1995,3
random,skill,other,0.01,1.793,1.0,56,3
random,skill,other,0.05,0.706,2.0,56,3
random,skill,other,0.1,0.76,4.3,56,3
random,skill,other,0.25,0.828,11.7,56,3
random,skill,other,0.5,0.998,28.0,56,3
random,skill,safety,0.01,1.097,13.0,1190,3
random,skill,safety,0.05,1.023,61.7,1190,3
random,skill,safety,0.1,1.048,127.0,1190,3
random,skill,safety,0.25,0.974,291.7,1190,3
random,skill,safety,0.5,0.992,591.7,1190,3
random,skill,science,0.01,0.0,0.0,112,3
random,skill,science,0.05,1.058,6.0,112,3
random,skill,science,0.1,1.198,13.7,112,3
random,skill,science,0.25,1.041,29.3,112,3
random,skill,science,0.5,1.063,59.7,112,3
rdsplus,skill,chat,0.01,0.492,6.0,1224,1
rdsplus,skill,chat,0.05,0.621,38.0,1224,1
rdsplus,skill,chat,0.1,0.719,88.0,1224,1
rdsplus,skill,chat,0.25,0.696,213.0,1224,1
rdsplus,skill,chat,0.5,0.457,280.0,1224,1
rdsplus,skill,code,0.01,1.003,15.0,1501,1
rdsplus,skill,code,0.05,0.56,42.0,1501,1
rdsplus,skill,code,0.1,0.473,71.0,1501,1
rdsplus,skill,code,0.25,0.45,169.0,1501,1
rdsplus,skill,code,0.5,0.559,420.0,1501,1
rdsplus,skill,general,0.01,1.031,10.0,974,1
rdsplus,skill,general,0.05,1.027,50.0,974,1
rdsplus,skill,general,0.1,1.099,107.0,974,1
rdsplus,skill,general,0.25,0.969,236.0,974,1
rdsplus,skill,general,0.5,0.794,387.0,974,1
rdsplus,skill,instruction_following,0.01,0.339,1.0,296,1
rdsplus,skill,instruction_following,0.05,0.27,4.0,296,1
rdsplus,skill,instruction_following,0.1,0.203,6.0,296,1
rdsplus,skill,instruction_following,0.25,0.162,12.0,296,1
rdsplus,skill,instruction_following,0.5,0.223,33.0,296,1
rdsplus,skill,math,0.01,1.552,54.0,3494,1
rdsplus,skill,math,0.05,1.729,302.0,3494,1
rdsplus,skill,math,0.1,1.769,618.0,3494,1
rdsplus,skill,math,0.25,1.771,1547.0,3494,1
rdsplus,skill,math,0.5,1.565,2738.0,3494,1
rdsplus,skill,multilingual,0.01,1.057,21.0,1995,1
rdsplus,skill,multilingual,0.05,0.983,98.0,1995,1
rdsplus,skill,multilingual,0.1,0.882,176.0,1995,1
rdsplus,skill,multilingual,0.25,0.977,487.0,1995,1
rdsplus,skill,multilingual,0.5,1.471,1469.0,1995,1
rdsplus,skill,other,0.01,0.0,0.0,56,1
rdsplus,skill,other,0.05,0.357,1.0,56,1
rdsplus,skill,other,0.1,0.357,2.0,56,1
rdsplus,skill,other,0.25,0.714,10.0,56,1
rdsplus,skill,other,0.5,0.571,16.0,56,1
rdsplus,skill,safety,0.01,0.084,1.0,1190,1
rdsplus,skill,safety,0.05,0.118,7.0,1190,1
rdsplus,skill,safety,0.1,0.134,16.0,1190,1
rdsplus,skill,safety,0.25,0.118,35.0,1190,1
rdsplus,skill,safety,0.5,0.141,84.0,1190,1
rdsplus,skill,science,0.01,0.0,0.0,112,1
rdsplus,skill,science,0.05,0.0,0.0,112,1
rdsplus,skill,science,0.1,0.0,0.0,112,1
rdsplus,skill,science,0.25,0.036,1.0,112,1
rdsplus,skill,science,0.5,0.018,1.0,112,1
semdedup,skill,chat,0.01,2.953,36.0,1224,1
semdedup,skill,chat,0.05,2.974,182.0,1224,1
semdedup,skill,chat,0.1,2.574,315.0,1224,1
semdedup,skill,chat,0.25,2.193,671.0,1224,1
semdedup,skill,chat,0.5,1.511,925.0,1224,1
semdedup,skill,chat,0.6394,1.28,1002.0,1224,1
semdedup,skill,code,0.01,0.201,3.0,1501,1
semdedup,skill,code,0.05,0.333,25.0,1501,1
semdedup,skill,code,0.1,0.553,83.0,1501,1
semdedup,skill,code,0.25,1.093,410.0,1501,1
semdedup,skill,code,0.5,1.4,1051.0,1501,1
semdedup,skill,code,0.6394,1.389,1333.0,1501,1
semdedup,skill,general,0.01,2.886,28.0,974,1
semdedup,skill,general,0.05,2.649,129.0,974,1
semdedup,skill,general,0.1,2.341,228.0,974,1
semdedup,skill,general,0.25,1.922,468.0,974,1
semdedup,skill,general,0.5,1.515,738.0,974,1
semdedup,skill,general,0.6394,1.267,789.0,974,1
semdedup,skill,instruction_following,0.01,1.017,3.0,296,1
semdedup,skill,instruction_following,0.05,3.784,56.0,296,1
semdedup,skill,instruction_following,0.1,4.426,131.0,296,1
semdedup,skill,instruction_following,0.25,3.406,252.0,296,1
semdedup,skill,instruction_following,0.5,1.986,294.0,296,1
semdedup,skill,instruction_following,0.6394,1.559,295.0,296,1
semdedup,skill,math,0.01,0.0,0.0,3494,1
semdedup,skill,math,0.05,0.011,2.0,3494,1
semdedup,skill,math,0.1,0.014,5.0,3494,1
semdedup,skill,math,0.25,0.029,25.0,3494,1
semdedup,skill,math,0.5,0.434,758.0,3494,1
semdedup,skill,math,0.6394,0.731,1632.0,3494,1
semdedup,skill,multilingual,0.01,1.409,28.0,1995,1
semdedup,skill,multilingual,0.05,0.682,68.0,1995,1
semdedup,skill,multilingual,0.1,0.546,109.0,1995,1
semdedup,skill,multilingual,0.25,0.407,203.0,1995,1
semdedup,skill,multilingual,0.5,0.391,390.0,1995,1
semdedup,skill,multilingual,0.6394,0.44,561.0,1995,1
semdedup,skill,other,0.01,1.793,1.0,56,1
semdedup,skill,other,0.05,1.429,4.0,56,1
semdedup,skill,other,0.1,1.429,8.0,56,1
semdedup,skill,other,0.25,1.286,18.0,56,1
semdedup,skill,other,0.5,1.536,43.0,56,1
semdedup,skill,other,0.6394,1.369,49.0,56,1
semdedup,skill,safety,0.01,0.675,8.0,1190,1
semdedup,skill,safety,0.05,0.958,57.0,1190,1
semdedup,skill,safety,0.1,1.387,165.0,1190,1
semdedup,skill,safety,0.25,1.916,570.0,1190,1
semdedup,skill,safety,0.5,1.871,1113.0,1190,1
semdedup,skill,safety,0.6394,1.527,1162.0,1190,1
semdedup,skill,science,0.01,0.896,1.0,112,1
semdedup,skill,science,0.05,3.393,19.0,112,1
semdedup,skill,science,0.1,3.572,40.0,112,1
semdedup,skill,science,0.25,3.322,93.0,112,1
semdedup,skill,science,0.5,1.946,109.0,112,1
semdedup,skill,science,0.6394,1.522,109.0,112,1
