selector,group,representation_ratio,kept_count,pool_count
ifd,0,1.108,277.0,500
ifd,1,1.244,311.0,500
ifd,2,0.844,211.0,500
ifd,3,0.883,188.0,426
ifd,4,0.759,180.0,474
ifd,5,1.008,4254.0,8442
perplexity-high,0,1.572,393.0,500
perplexity-high,1,1.608,402.0,500
perplexity-high,2,1.924,481.0,500
perplexity-high,3,1.16,247.0,426
perplexity-high,4,1.595,378.0,474
perplexity-high,5,0.834,3520.0,8442
perplexity-low,0,0.428,107.0,500
perplexity-low,1,0.392,98.0,500
perplexity-low,2,0.076,19.0,500
perplexity-low,3,0.84,179.0,426
perplexity-low,4,0.405,96.0,474
perplexity-low,5,1.166,4922.0,8442
perplexity-mid,0,0.564,141.0,500
perplexity-mid,1,1.08,270.0,500
perplexity-mid,2,0.044,11.0,500
perplexity-mid,3,1.474,314.0,426
perplexity-mid,4,0.941,223.0,474
perplexity-mid,5,1.057,4462.0,8442
quality,0,0.568,142.0,500
quality,1,0.1,25.0,500
quality,2,0.372,93.0,500
quality,3,0.746,159.0,426
quality,4,1.055,250.0,474
quality,5,1.126,4752.0,8442
random,0,0.998,250.0,500
random,1,1.065,267.0,500
random,2,1.04,260.7,500
random,3,0.982,209.7,426
random,4,1.02,242.3,474
random,5,0.994,4204.7,8442
rdsplus,0,1.194,299.0,500
rdsplus,1,1.514,379.0,500
rdsplus,2,1.798,450.0,500
rdsplus,3,1.66,354.0,426
rdsplus,4,0.847,201.0,474
rdsplus,5,0.886,3745.0,8442
semdedup,0,0.68,170.0,500
semdedup,1,0.136,34.0,500
semdedup,2,0.312,78.0,500
semdedup,3,0.376,80.0,426
semdedup,4,1.008,239.0,474
semdedup,5,1.142,4820.0,8442
